name,smiles
Aspirin,CC(=O)Oc1ccccc1C(=O)O
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O
Acetaminophen,CC(=O)Nc1ccc(O)cc1
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O
Metformin,CN(C)C(=N)NC(=N)N
Omeprazole,COc1ccc2[nH]c(nc2c1)S(=O)Cc3ncc(C)c(OC)c3C
Metoprolol,COCCc1ccc(cc1)OCC(O)CNC(C)C
Lisinopril,NCCCC[C@@H](NC(CCc1ccccc1)C(=O)O)C(=O)O
Amlodipine,CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN
Simvastatin,CCC(C)(C)C(=O)OC1CCC=C2C1C(C(C=C2)C)CCC(CC(=O)O)O
Losartan,CCCCc1nc(Cl)c(n1Cc2ccc(cc2)c3ccccc3)CO
Warfarin,CC(=O)CC(c1ccccc1)c2c(O)c3ccccc3oc2=O
Gabapentin,NCC1(CC(=O)O)CCCCC1
Allopurinol,O=c1[nH]c2[nH]ncc2c(=O)[nH]1
Cetirizine,OC(=O)COCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3
Prednisone,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO
Naproxen,COc1ccc2cc(CC(C)C(=O)O)ccc2c1
Ranitidine,CNC(NCCSCc1ccc(CN(C)C)o1)=C[N+](=O)[O-]
Diazepam,CN1C(=O)CN=C(c2ccccc21)c3ccc(Cl)cc3
Amoxicillin,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O
Ciprofloxacin,O=C(O)c1cn(C2CC2)c3cc(N4CCNCC4)c(F)cc3c1=O
Fluoxetine,CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2
Sertraline,CNC1CCC(c2ccc(Cl)c(Cl)c2)c3ccccc31
Clopidogrel,COC(=O)C(c1ccccc1Cl)N2CCc3sccc3C2
Pantoprazole,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC
Rosuvastatin,CC(C)c1nc(N(C)S(=O)(=O)C)nc(c1C=CC(O)CC(O)CC(=O)O)c2ccc(F)cc2
Montelukast,CC(C)(O)c1ccccc1CCC(SCC2(CC2)CC(=O)O)c3cccc(C=Cc4ccc5ccc(Cl)cc5n4)c3
Loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4ncccc42)CC1
Fexofenadine,CC(C)(O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
Venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
Duloxetine,CNCC(Oc1cccc2ccccc12)c3cccs3
Tramadol,COc1cccc(C2(O)CCCCC2CN(C)C)c1
Escitalopram,Fc1ccc(C2(OCC3CC(CN)C32)c3ccc(F)cc3)cc1
Cephalexin,CC1=C(N2C(SC1)C(NC(=O)C(N)c3ccccc3)C2=O)C(=O)O
Azithromycin,CCC1OC(=O)C(C)C(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C1N(C)C
